"","version","doi","v1","v2","v3","v4","v5","v6"
"1","1.0 (2020-11-30)","doi:10.11587/7PFLIU",1,"abartig",3.15000009536743,0.366347551345825,3,3
"2","1.0 (2020-11-30)","doi:10.11587/7PFLIU",2,"abbau",1.54782605171204,1.31951260566711,0,0
"3","1.0 (2020-11-30)","doi:10.11587/7PFLIU",3,"abbauen",1.79545450210571,1.28252279758453,3,3
"4","1.0 (2020-11-30)","doi:10.11587/7PFLIU",4,"abblocken",2,1.24721908569336,2,2
"5","1.0 (2020-11-30)","doi:10.11587/7PFLIU",5,"abbruch",2.07692313194275,1.38212025165558,3,3
"6","1.0 (2020-11-30)","doi:10.11587/7PFLIU",6,"abdanken",2.54545450210571,1.0357254743576,3,3
"7","1.0 (2020-11-30)","doi:10.11587/7PFLIU",7,"abdecken",1.72727274894714,1.07711338996887,2,2
"8","1.0 (2020-11-30)","doi:10.11587/7PFLIU",8,"abdrängen",2.29999995231628,0.674948573112488,2,2
"9","1.0 (2020-11-30)","doi:10.11587/7PFLIU",9,"abenteuerlich",2.375,0.896932065486908,3,3
"10","1.0 (2020-11-30)","doi:10.11587/7PFLIU",10,"aberwitzig",1.96774196624756,1.3034280538559,3,3
"11","1.0 (2020-11-30)","doi:10.11587/7PFLIU",11,"abfall",0.380952388048172,0.669043362140656,0,0
"12","1.0 (2020-11-30)","doi:10.11587/7PFLIU",12,"abfallpolitik",2.27272725105286,1.19087433815002,3,3
"13","1.0 (2020-11-30)","doi:10.11587/7PFLIU",13,"abfeiern",2.90000009536743,0.31622776389122,3,3
"14","1.0 (2020-11-30)","doi:10.11587/7PFLIU",14,"abfertigen",2.79999995231628,0.421637028455734,3,3
"15","1.0 (2020-11-30)","doi:10.11587/7PFLIU",15,"abfuhr",2.42857146263123,0.978336751461029,3,3
"16","1.0 (2020-11-30)","doi:10.11587/7PFLIU",16,"abfällig",2.23595499992371,0.98882931470871,3,3
"17","1.0 (2020-11-30)","doi:10.11587/7PFLIU",17,"abfälligkeit",2.70000004768372,1.05934989452362,3,3
"18","1.0 (2020-11-30)","doi:10.11587/7PFLIU",18,"abführen",2.34999990463257,1.13670814037323,3,3
"19","1.0 (2020-11-30)","doi:10.11587/7PFLIU",19,"abführmittel",1.60000002384186,1.53554379940033,0,0
"20","1.0 (2020-11-30)","doi:10.11587/7PFLIU",20,"abgabenhinterziehung",2.09999990463257,1.28668391704559,3,3
"21","1.0 (2020-11-30)","doi:10.11587/7PFLIU",21,"abgang",2.38235282897949,1.45674407482147,3,3
"22","1.0 (2020-11-30)","doi:10.11587/7PFLIU",22,"abgebaut",0.400000005960464,0.843274056911469,0,0
"23","1.0 (2020-11-30)","doi:10.11587/7PFLIU",23,"abgeben",1.52238810062408,1.46015989780426,0,0
"24","1.0 (2020-11-30)","doi:10.11587/7PFLIU",24,"abgegeben",0.803278684616089,1.3142763376236,0,0
"25","1.0 (2020-11-30)","doi:10.11587/7PFLIU",25,"abgehen",0.789473712444305,1.2727462053299,0,0
"26","1.0 (2020-11-30)","doi:10.11587/7PFLIU",26,"abgehoben",2.51999998092651,1.29740715026855,3,3
"27","1.0 (2020-11-30)","doi:10.11587/7PFLIU",27,"abgehobenheit",3.01960778236389,0.677943825721741,3,3
"28","1.0 (2020-11-30)","doi:10.11587/7PFLIU",28,"abgekartet",2.54999995231628,0.887041211128235,3,3
"29","1.0 (2020-11-30)","doi:10.11587/7PFLIU",29,"abgelten",0.636363625526428,1.43336856365204,0,0
"30","1.0 (2020-11-30)","doi:10.11587/7PFLIU",30,"abgesandelt",2,1.54919338226318,3,0
"31","1.0 (2020-11-30)","doi:10.11587/7PFLIU",31,"abgesang",2.29999995231628,1.05934989452362,2,2
"32","1.0 (2020-11-30)","doi:10.11587/7PFLIU",32,"abgeschasselt",2.21052622795105,1.1822270154953,3,3
"33","1.0 (2020-11-30)","doi:10.11587/7PFLIU",33,"abgeschrieben",2.29999995231628,0.823272585868835,3,3
"34","1.0 (2020-11-30)","doi:10.11587/7PFLIU",34,"abgetakelt",2.5,0.971825301647186,3,3
"35","1.0 (2020-11-30)","doi:10.11587/7PFLIU",35,"abgetaucht",2.09999990463257,0.875595033168793,2,2
"36","1.0 (2020-11-30)","doi:10.11587/7PFLIU",36,"abgewöhnen",2.79999995231628,1.03279554843903,3,3
"37","1.0 (2020-11-30)","doi:10.11587/7PFLIU",37,"abgezockt",2.90000009536743,0.552506268024445,3,3
"38","1.0 (2020-11-30)","doi:10.11587/7PFLIU",38,"abgrenzen",0.90625,1.20105803012848,0,0
"39","1.0 (2020-11-30)","doi:10.11587/7PFLIU",39,"abgrenzung",1.09090912342072,1.26901125907898,0,0
"40","1.0 (2020-11-30)","doi:10.11587/7PFLIU",40,"abgrund",2.49019598960876,1.30188405513763,3,3
"41","1.0 (2020-11-30)","doi:10.11587/7PFLIU",41,"abhaken",2.5,0.527046263217926,2,3
"42","1.0 (2020-11-30)","doi:10.11587/7PFLIU",42,"abhalten",2.15000009536743,1.23100960254669,3,3
