Topic;Word;Score;;
Volkswirtschaft;steuerreform;10.946.062;;
Volkswirtschaft;finanzpolit;9.615.062;;
Volkswirtschaft;aufschwung;6.774.062;;
Volkswirtschaft;steuererhoh;6.336.666;;
Volkswirtschaft;haushaltsplan;6.240.062;;
Volkswirtschaft;arbeitsmarktpolit;5.823.062;;
Volkswirtschaft;arbeitslosengeld;5.375.062;;
Volkswirtschaft;haushaltsjahr;5.278.264;;
Volkswirtschaft;mehrwertsteu;5.265.062;;
Volkswirtschaft;steuersenk;5.202.062;;
Volkswirtschaft;haushaltspolit;4.462.062;;
Volkswirtschaft;steuereinnahm;4.263.484;;
Volkswirtschaft;langzeitarbeitslos;4.201.062;;
Volkswirtschaft;steuersatz;4.193.683;;
Volkswirtschaft;einkommensteu;4.163.444;;
Volkswirtschaft;neuverschuld;4.010.062;;
Volkswirtschaft;umsatzsteu;3.986.350;;
Volkswirtschaft;inflation;3.966.062;;
Volkswirtschaft;haushaltsentwurf;3.904.062;;
Volkswirtschaft;vermogensteu;3.731.062;;
Volkswirtschaft;steuerrecht;3.509.747;;
Volkswirtschaft;nachtragshaushalt;3.465.062;;
Volkswirtschaft;arbeitsamt;3.454.062;;
Volkswirtschaft;bruttosozialprodukt;3.261.696;;
Volkswirtschaft;zonenrandgebiet;3.231.062;;
Volkswirtschaft;jahreswirtschaftsbericht;3.216.062;;
Volkswirtschaft;strukturpolit;3.012.626;;
Volkswirtschaft;rechnungsjahr;2.991.222;;
Volkswirtschaft;gemeinschaftsaufgab;2.920.645;;
Volkswirtschaft;volkerrecht;2.832.833;;
Volkswirtschaft;korperschaftsteu;2.799.149;;
Volkswirtschaft;finanzamt;2.684.062;;
Volkswirtschaft;grundsicher;2.597.174;;
Volkswirtschaft;stahlindustri;2.596.493;;
Volkswirtschaft;nettokreditaufnahm;2.348.062;;
Volkswirtschaft;arbeitslosenzahl;2.318.062;;
Volkswirtschaft;vollbeschaft;2.306.062;;
Volkswirtschaft;mehrwertsteuererhoh;2.234.062;;
Volkswirtschaft;steuerpflicht;2.226.494;;
Volkswirtschaft;haushaltsgesetz;2.224.293;;
Volkswirtschaft;vermogensbild;2.129.062;;
Volkswirtschaft;arbeitsforderungsgesetz;2.123.734;;
Volkswirtschaft;steuerentlast;2.048.062;;
Volkswirtschaft;spitzensteuersatz;2.043.062;;
